,country,time-period,sector,energy-type,value(KTOE)
181,Croatia,2019,transport,Electricity,23.465
182,Croatia,2020,transport,Electricity,22.528
183,Hungary,2009,transport,Electricity,103.267
184,Hungary,2010,transport,Electricity,95.099
185,Hungary,2011,transport,Electricity,96.045
186,Hungary,2012,transport,Electricity,84.523
187,Hungary,2013,transport,Electricity,105.503
188,Hungary,2014,transport,Electricity,99.398
189,Hungary,2015,transport,Electricity,100.688
190,Hungary,2016,transport,Electricity,101.204
191,Hungary,2017,transport,Electricity,103.869
192,Hungary,2018,transport,Electricity,103.783
193,Hungary,2019,transport,Electricity,103.181
194,Hungary,2020,transport,Electricity,104.385
195,Ireland,2009,transport,Electricity,3.853
196,Ireland,2010,transport,Electricity,3.918
197,Ireland,2011,transport,Electricity,3.92
198,Ireland,2012,transport,Electricity,3.91
199,Ireland,2013,transport,Electricity,3.652
200,Ireland,2014,transport,Electricity,3.47
201,Ireland,2015,transport,Electricity,3.77
202,Ireland,2016,transport,Electricity,4.212
203,Ireland,2017,transport,Electricity,4.542
204,Ireland,2018,transport,Electricity,5.372
205,Ireland,2019,transport,Electricity,6.788
206,Ireland,2020,transport,Electricity,7.606
207,Iceland,2009,transport,Electricity,0.0
208,Iceland,2010,transport,Electricity,0.0
209,Iceland,2011,transport,Electricity,0.0
210,Iceland,2012,transport,Electricity,0.086
211,Iceland,2013,transport,Electricity,0.172
212,Iceland,2014,transport,Electricity,0.437
213,Iceland,2015,transport,Electricity,1.871
214,Iceland,2016,transport,Electricity,5.717
215,Iceland,2017,transport,Electricity,6.552
216,Iceland,2018,transport,Electricity,7.629
217,Iceland,2019,transport,Electricity,1.939
218,Iceland,2020,transport,Electricity,2.444
219,Italy,2009,transport,Electricity,905.847
220,Italy,2010,transport,Electricity,917.111
221,Italy,2011,transport,Electricity,928.031
222,Italy,2012,transport,Electricity,925.107
223,Italy,2013,transport,Electricity,926.483
224,Italy,2014,transport,Electricity,899.656
225,Italy,2015,transport,Electricity,933.448
226,Italy,2016,transport,Electricity,959.759
227,Italy,2017,transport,Electricity,978.75
228,Italy,2018,transport,Electricity,992.261
229,Italy,2019,transport,Electricity,992.399
230,Italy,2020,transport,Electricity,869.663
231,Lithuania,2009,transport,Electricity,6.621
232,Lithuania,2010,transport,Electricity,6.535
233,Lithuania,2011,transport,Electricity,6.363
234,Lithuania,2012,transport,Electricity,6.449
235,Lithuania,2013,transport,Electricity,6.363
236,Lithuania,2014,transport,Electricity,5.417
237,Lithuania,2015,transport,Electricity,5.761
238,Lithuania,2016,transport,Electricity,6.191
239,Lithuania,2017,transport,Electricity,6.389
240,Lithuania,2018,transport,Electricity,6.862
241,Lithuania,2019,transport,Electricity,6.664
242,Lithuania,2020,transport,Electricity,6.251
243,Luxembourg,2009,transport,Electricity,9.654
244,Luxembourg,2010,transport,Electricity,10.284
245,Luxembourg,2011,transport,Electricity,11.133
246,Luxembourg,2012,transport,Electricity,11.069
247,Luxembourg,2013,transport,Electricity,11.7
248,Luxembourg,2014,transport,Electricity,11.166
249,Luxembourg,2015,transport,Electricity,11.893
250,Luxembourg,2016,transport,Electricity,11.886
251,Luxembourg,2017,transport,Electricity,12.247
252,Luxembourg,2018,transport,Electricity,12.949
253,Luxembourg,2019,transport,Electricity,13.518
